"B6" "Balance of payments BPM6"
"PWCP0910" "Price Weights > Consumer Prices > Recreation and culture > Audio-visual, photographic and information processing equipment"
"PWCP0920" "Price Weights > Consumer Prices > Recreation and culture > Other major durables for recreation and culture"
"PWCP0930" "Price Weights > Consumer Prices > Recreation and culture > Other recreational items and equipment, gardens and pets"
"PWCP0940" "Price Weights > Consumer Prices > Recreation and culture > Recreational and cultural services"
"PWCP0941" "Price Weights > Consumer Prices > Recreation and culture > Recreational and sporting services"
"PWCP0942" "Price Weights > Consumer Prices > Recreation and culture > Cultural services"
"PWCP0943" "Price Weights > Consumer Prices > Recreation and culture > Games of chance"
"PWCP0950" "Price Weights > Consumer Prices > Recreation and culture > Newspapers, books and stationery"
"PWCP0960" "Price Weights > Consumer Prices > Recreation and culture > Package holidays"
"PWCP10" "Price Weights > Consumer Prices > Education"
"PWCP1000" "Price Weights > Consumer Prices > Education > Total"
"PWCP11" "Price Weights > Consumer Prices > Restaurants and hotels"
"PWCP1100" "Price Weights > Consumer Prices > Restaurants and hotels > Total"
"PWCP1110" "Price Weights > Consumer Prices > Restaurants and hotels > Catering services"
"PWCP1111" "Price Weights > Consumer Prices > Restaurants and hotels > Restaurants, cafés and the like"
"PWCP1112" "Price Weights > Consumer Prices > Restaurants and hotels > Canteens"
"PWCP1120" "Price Weights > Consumer Prices > Restaurants and hotels > Restaurants and hotels / Accommodation services"
"PWCP12" "Price Weights > Consumer Prices > Miscellaneous goods and services"
"PWCP1200" "Price Weights > Consumer Prices > Miscellaneous goods and services > Total"
"PWCP1210" "Price Weights > Consumer Prices > Miscellaneous goods and services > Personal care"
"PWCP1230" "Price Weights > Consumer Prices > Miscellaneous goods and services > Personal effects n.e.c"
"PWCP1240" "Price Weights > Consumer Prices > Miscellaneous goods and services > Social protection"
"PWCP1250" "Price Weights > Consumer Prices > Miscellaneous goods and services > Insurance"
"PWCP1260" "Price Weights > Consumer Prices > Miscellaneous goods and services > Financial services n.e.c."
"PWCP1270" "Price Weights > Consumer Prices > Miscellaneous goods and services > Other services n.e.c."
"PWCPEN" "Price Weights > Consumer Prices > Energy"
"PWCPEN01" "Price Weights > Consumer Prices > Energy > Total"
"PWCPGO" "Price Weights > Consumer Prices > Goods"
"PWCPGO01" "Price Weights > Consumer Prices > Goods > Total"
"PWCPHO" "Price Weights > Consumer Prices > Housing"
"PWCPHO01" "Price Weights > Consumer Prices > Housing > Total"
"PWCPHO05" "Price Weights > Consumer Prices > Housing > Housing excluding imputed rent"
"PWCPLE" "Price Weights > Consumer Prices > All items less food less energy"
"PWCPLE01" "Price Weights > Consumer Prices > All items less food less energy > Total"
"PWCPLR" "Price Weights > Consumer Prices > Services less housing"
"PWCPLR01" "Price Weights > Consumer Prices > Services less housing > Total"
"PWCPSE" "Price Weights > Consumer Prices > Services"
"PWCPSE01" "Price Weights > Consumer Prices > Services > Total"
"PWCW" "Price Weights > Country weights"
"PWCWCP" "Price Weights > Country weights > Consumer Prices"
"PWCWCP02" "Price Weights > Country weights > Consumer Prices > CPI country weights in percentage of OECD Total"
"PWCWCP03" "Price Weights > Country weights > Consumer Prices > CPI country weights in percentage of G20"
"PWCWPI" "Price Weights > Country weights > Producer Prices"
"PWCWPI02" "Price Weights > Country weights > Producer Prices > PPI country weights in percentage of OECD Total"
"PWHP" "Price Weights > Harmonised Prices"
"PWHP00" "Price Weights > Harmonised Prices > All items"
"PWHP0000" "Price Weights > Harmonised Prices > All items > Total"
"PWHP01" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages"
"PWHP0100" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Total"
"PWHP0110" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Food"
"PWHP0111" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Bread and cereals"
"PWHP0112" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Meat"
"PWHP0113" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Fish and seafood"
"PWHP0114" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Milk, cheese and eggs"
"PWHP0115" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Oils and fats"
"PWHP0116" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Fruit"
"PWHP0117" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Vegetables"
"PWHP0118" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Sugar, jam, honey, chocolate and confectionery"
"PWHP0119" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Food products n.e.c."
"PWHP0120" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Non-alcoholic beverages"
"PWHP0121" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Coffee, tea and cocoa"
"PWHP0122" "Price Weights > Harmonised Prices > Food and non-alcoholic beverages > Mineral waters, soft drinks, fruit and vegetable juices"
"PWHP02" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics"
"PWHP0200" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics > Total"
"PWHP0210" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics > Alcoholic beverages"
"PWHP0211" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics > Spirits"
"PWHP0212" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics > Wine"
"PWHP0213" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics > Beer"
"PWHP0220" "Price Weights > Harmonised Prices > Alcoholic beverages, Tobacco and Narcotics > Tobacco"
"PWHP03" "Price Weights > Harmonised Prices > Clothing and Footwear"
"PWHP0300" "Price Weights > Harmonised Prices > Clothing and Footwear > Total"
"PWHP0310" "Price Weights > Harmonised Prices > Clothing and Footwear > Clothing"
"PWHP0311" "Price Weights > Harmonised Prices > Clothing and Footwear > Clothing materials"
"PWHP0312" "Price Weights > Harmonised Prices > Clothing and Footwear > Garments"
"PWHP0313" "Price Weights > Harmonised Prices > Clothing and Footwear > Other articles of clothing and clothing accessories"
"PWHP0314" "Price Weights > Harmonised Prices > Clothing and Footwear > Cleaning, repair and hire of clothing"
"PWHP0320" "Price Weights > Harmonised Prices > Clothing and Footwear > Footwear including repair"
"PWHP04" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels"
"PWHP0400" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Total"
"PWHP0410" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Actual Rentals for Housing"
"PWHP0430" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Maintenance and Repair of the dwelling"
"PWHP0431" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Materials for the maintenance and repair of the dwelling"
"PWHP0432" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Services for the maintenance and repair of the dwelling"
"PWHP0440" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Water Supply and Miscellaneous Services relating to the Dwelling"
"PWHP0441" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Water supply"
"PWHP0442" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Refuse collection"
"PWHP0443" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Sewerage collection"
"PWHP0444" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Other services relating to the dwelling n.e.c."
"PWHP0450" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Electricity, gas and other fuels"
"PWHP0451" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Electricity"
"PWHP0452" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Gas"
"PWHP0453" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Liquid fuels"
"PWHP0454" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Solid fuels"
"PWHP0455" "Price Weights > Harmonised Prices > Housing, Water, Electricity, Gas and other Fuels > Heat energy"
"PWHP05" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance"
"PWHP0500" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Total"
"PWHP0510" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Furniture and furnishings, carpets and other floor coverings"
"PWHP0511" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Furniture and furnishings"
"PWHP0512" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Carpets and other floor coverings"
"PWHP0513" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Repair of furniture, furnishings and floor coverings"
"PWHP0520" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Household textiles"
"PWHP0530" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Household appliances"
"PWHP0533" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Repair of household appliances"
"PWHP053G" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Major household appliances electr. or not & small electr. appl. (05.3.1_2)"
"PWHP0540" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Glassware, tableware and household utensils"
"PWHP0550" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Tools and equipment for house and garden"
"PWHP0560" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Goods and services for routine household maintenance"
"PWHP0561" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Non-durable household goods"
"PWHP0562" "Price Weights > Harmonised Prices > Furnishing, Household equipment and routine maintenance > Domestic services and household services"
"PWHP06" "Price Weights > Harmonised Prices > Health"
"PWHP0600" "Price Weights > Harmonised Prices > Health > Total"
"PWHP0610" "Price Weights > Harmonised Prices > Health > Medical products, appliances and equipment"
"PWHP0611" "Price Weights > Harmonised Prices > Health > Pharmaceutical products"
"PWHP061G" "Price Weights > Harmonised Prices > Health > Other medical products & therapeutic appliances and equipment (06.1.2_3)"
"PWHP0620" "Price Weights > Harmonised Prices > Health > Out-patient services"
"PWHP0622" "Price Weights > Harmonised Prices > Health > Dental services"
"PWHP062G" "Price Weights > Harmonised Prices > Health > Medical services & paramedical services (06.2.1_3)"
"PWHP0630" "Price Weights > Harmonised Prices > Health > Hospital services"
"PWHP07" "Price Weights > Harmonised Prices > Transport"
"PWHP0700" "Price Weights > Harmonised Prices > Transport > Total"
"PWHP0710" "Price Weights > Harmonised Prices > Transport > Purchase of vehicles"
"PWHP0711" "Price Weights > Harmonised Prices > Transport > Motor cars"
"PWHP071G" "Price Weights > Harmonised Prices > Transport > Motor cycles, bicycles and animal drawn vehicles (07.1.2_3_4)"
"PWHP0720" "Price Weights > Harmonised Prices > Transport > Operation of personal transport equipment"
"PWHP0721" "Price Weights > Harmonised Prices > Transport > Spare parts and accessories for personal transport equipment"
"PWHP0722" "Price Weights > Harmonised Prices > Transport > Fuels and lubricants for personal transport equipment"
"PWHP0723" "Price Weights > Harmonised Prices > Transport > Maintenance and repair of personal transport equipment"
"PWHP0724" "Price Weights > Harmonised Prices > Transport > Other services in respect of personal transport equipment"
"PWHP0730" "Price Weights > Harmonised Prices > Transport > Transport services"
"PWHP0731" "Price Weights > Harmonised Prices > Transport > Passenger transport by railway"
"PWHP0732" "Price Weights > Harmonised Prices > Transport > Passenger transport by road"
"PWHP0733" "Price Weights > Harmonised Prices > Transport > Passenger transport by air"
"PWHP0734" "Price Weights > Harmonised Prices > Transport > Passenger transport by sea and inland waterway"
"PWHP0735" "Price Weights > Harmonised Prices > Transport > Combined passenger transport"
"PWHP0736" "Price Weights > Harmonised Prices > Transport > Other purchased transport services"
"PWHP08" "Price Weights > Harmonised Prices > Communication"
"PWHP0800" "Price Weights > Harmonised Prices > Communication > Total"
"PWHP0810" "Price Weights > Harmonised Prices > Communication > Postal services"
"PWHP0820" "Price Weights > Harmonised Prices > Communication > Telephone and telefax equipment"
"PWHP082G" "Price Weights > Harmonised Prices > Communication > Telephone and telefax equipment & services (08.2_3)"
"PWHP0830" "Price Weights > Harmonised Prices > Communication > Telephone and telefax services"
"PWHP09" "Price Weights > Harmonised Prices > Recreation and culture"
"PWHP0900" "Price Weights > Harmonised Prices > Recreation and culture > Total"
"PWHP0910" "Price Weights > Harmonised Prices > Recreation and culture > Audio-visual, photographic and information processing equipment"
"PWHP0911" "Price Weights > Harmonised Prices > Recreation and culture > Equipment for the reception, recording & reproduction of sound and pictures"
"PWHP0912" "Price Weights > Harmonised Prices > Recreation and culture > Photographic and cinematographic equipment and optical instruments"
"PWHP0913" "Price Weights > Harmonised Prices > Recreation and culture > Information processing equipment"
"PWHP0914" "Price Weights > Harmonised Prices > Recreation and culture > Recording media"
"PWHP0915" "Price Weights > Harmonised Prices > Recreation and culture > Repair of audio-visual, photographic and information processing equipment"
"PWHP0920" "Price Weights > Harmonised Prices > Recreation and culture > Other major durables for recreation and culture"
"PWHP0923" "Price Weights > Harmonised Prices > Recreation and culture > Maintenance and repair of other major durables for recreation and culture"
"PWHP092G" "Price Weights > Harmonised Prices > Recreation and culture > Major dur. for indoor & outdoor recreation,  musical instruments (09.2.1_2)"
"PWHP0930" "Price Weights > Harmonised Prices > Recreation and culture > Other recreational items and equipment, gardens and pets"
"PWHP0931" "Price Weights > Harmonised Prices > Recreation and culture > Games, toys and hobbies"
"PWHP0932" "Price Weights > Harmonised Prices > Recreation and culture > Equipment for sport, camping and open-air recreation"
"PWHP0933" "Price Weights > Harmonised Prices > Recreation and culture > Gardens, plants and flowers"
"PWHP093G" "Price Weights > Harmonised Prices > Recreation and culture > Pets, related products & veterinary and other services for pets (09.3.4_5)"
"PWHP0940" "Price Weights > Harmonised Prices > Recreation and culture > Recreational and cultural services"
"PWHP0941" "Price Weights > Harmonised Prices > Recreation and culture > Recreational and sporting services"
"PWHP0942" "Price Weights > Harmonised Prices > Recreation and culture > Cultural services"
"PWHP0950" "Price Weights > Harmonised Prices > Recreation and culture > Newspapers, books and stationery"
"PWHP0951" "Price Weights > Harmonised Prices > Recreation and culture > Books"
"PWHP0952" "Price Weights > Harmonised Prices > Recreation and culture > Newspapers and periodicals"
"PWHP095G" "Price Weights > Harmonised Prices > Recreation and culture > Miscellaneous printed matter & stationery and drawing materials (09.5.3_4)"
"PWHP0960" "Price Weights > Harmonised Prices > Recreation and culture > Package holidays"
"PWHP10" "Price Weights > Harmonised Prices > Education"
"PWHP1000" "Price Weights > Harmonised Prices > Education > Total"
"PWHP11" "Price Weights > Harmonised Prices > Restaurants and hotels"
"PWHP1100" "Price Weights > Harmonised Prices > Restaurants and hotels > Total"
"PWHP1110" "Price Weights > Harmonised Prices > Restaurants and hotels > Catering services"
"PWHP1111" "Price Weights > Harmonised Prices > Restaurants and hotels > Restaurants, cafés and the like"
"PWHP1112" "Price Weights > Harmonised Prices > Restaurants and hotels > Canteens"
"PWHP1120" "Price Weights > Harmonised Prices > Restaurants and hotels > Accommodation services"
"PWHP12" "Price Weights > Harmonised Prices > Miscellaneous goods and services"
"PWHP1200" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Total"
"PWHP1210" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Personal care"
"PWHP1211" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Hairdressing salons and personal grooming establishments"
"PWHP121G" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Electr. & other appliances, articles, products for personal care (12.1.2_3)"
"PWHP1230" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Personal effects n.e.c."
"PWHP1231" "Price Weights > Harmonised Prices > Miscellaneous goods and services > ewellery, clocks and watches"
"PWHP1232" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Other personal effects"
"PWHP1240" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Social protection"
"PWHP1250" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Insurance"
"PWHP1252" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Insurance connected with the dwelling"
"PWHP1253" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Insurance connected with health"
"PWHP1254" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Insurance connected with transport"
"PWHP1255" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Other insurance"
"PWHP1260" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Financial services n.e.c."
"PWHP1270" "Price Weights > Harmonised Prices > Miscellaneous goods and services > Other services n.e.c."
"PWHPEN" "Price Weights > Harmonised Prices > Energy"
"PWHPEN01" "Price Weights > Harmonised Prices > Energy > Total"
"PWHPGO" "Price Weights > Harmonised Prices > Goods (overall index excluding services)"
"PWHPGO01" "Price Weights > Harmonised Prices > Goods (overall index excluding services) > Total"
"PWHPLE" "Price Weights > Harmonised Prices > All items less food less energy"
"PWHPLE01" "Price Weights > Harmonised Prices > All items less food less energy > Total"
"PWHPSE" "Price Weights > Harmonised Prices > Services (overall index excluding goods)"
"PWHPSE01" "Price Weights > Harmonised Prices > Services (overall index excluding goods) > Total"
"SL" "Sales"
"SLMN" "Sales > Manufacturing"
"SLMNCD" "Sales > Manufacturing > Consumer goods durable"
"SLMNCD01" "Sales > Manufacturing > Consumer goods durable > Volume"
"SLMNCD02" "Sales > Manufacturing > Consumer goods durable > Value"
"SLMNCN" "Sales > Manufacturing > Consumer goods non durable"
"SLMNCN01" "Sales > Manufacturing > Consumer goods non durable > Volume"
"SLMNCN02" "Sales > Manufacturing > Consumer goods non durable > Value"
"SLMNCT" "Sales > Manufacturing > Consumer goods total"
"SLMNCT01" "Sales > Manufacturing > Consumer goods total > Volume"
"SLMNCT02" "Sales > Manufacturing > Consumer goods total > Value"
"SLMNIG" "Sales > Manufacturing > Intermediate goods"
"SLMNIG01" "Sales > Manufacturing > Intermediate goods > Volume"
"SLMNIG02" "Sales > Manufacturing > Intermediate goods > Value"
"SLMNTO" "Sales > Manufacturing > Total manufacturing"
"SLMNTO01" "Sales > Manufacturing > Total manufacturing > Volume"
"SLMNTO02" "Sales > Manufacturing > Total manufacturing > Value"
"SLMNVG" "Sales > Manufacturing > Investment goods"
"SLMNVG01" "Sales > Manufacturing > Investment goods > Volume"
"SLMNVG02" "Sales > Manufacturing > Investment goods > Value"
"SLRT" "Sales > Retail trade"
"SLRTCR" "Sales > Retail trade > Car registration"
"SLRTCR01" "Sales > Retail trade > Car registration > Total"
"SLRTCR03" "Sales > Retail trade > Car registration > Passenger cars"
"SLRTTO" "Sales > Retail trade > Total retail trade"
"SLRTTO01" "Sales > Retail trade > Total retail trade > Volume"
"SLRTTO02" "Sales > Retail trade > Total retail trade > Value"
"SLWH" "Sales > Wholesale trade"
"SLWHTO" "Sales > Wholesale trade > Total wholesale trade"
"SLWHTO01" "Sales > Wholesale trade > Total wholesale trade > Volume"
"SLWHTO02" "Sales > Wholesale trade > Total wholesale trade > Value"
"SP" "Share Prices"
"SPAS" "Share Prices > All shares/broad"
"SPASTT" "Share Prices > All shares/broad > Total"
"SPASTT01" "Share Prices > All shares/broad > Total > Total"
"SPIN" "Share Prices > Industrials"
"SPINTT" "Share Prices > Industrials > Total"
"SPINTT01" "Share Prices > Industrials > Total > Total"
"ST" "Short term statistics"
"STMN" "Short term statistics > Stocks - Manufacturing"
"STMNIS" "Short term statistics > Stocks - Manufacturing > Inventories to shipments"
"STMNIS01" "Short term statistics > Stocks - Manufacturing > Inventories to shipments > Total"
"STMNTO" "Short term statistics > Stocks - Manufacturing > Total manufacturing"
"STMNTO01" "Short term statistics > Stocks - Manufacturing > Total manufacturing > Volume"
"UL" "Unit Labour Costs"
"ULQE" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators"
"ULQECU" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Labour Compensation per Unit of Labour Input"
"ULQECU01" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Labour Compensation per Unit of Labour Input > Total"
"ULQELP" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Labour Productivity"
"ULQELP01" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Labour Productivity > Total"
"ULQEUL" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Unit Labour Costs"
"ULQEUL01" "Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Unit Labour Costs > Total"
"WP" "Wholesale prices"
"WPIA" "Wholesale prices > Industry aggregates"
"WPIAMP" "Wholesale prices > Industry aggregates > Manufactured products"
"WPIAMP01" "Wholesale prices > Industry aggregates > Manufactured products > Total"
"WPIATT" "Wholesale prices > Industry aggregates > Total"
"WPIATT01" "Wholesale prices > Industry aggregates > Total > Total"
"WPOT" "Wholesale prices > Other wholesale prices"
"WPOTFD" "Wholesale prices > Other wholesale prices > Food"
"WPOTFD01" "Wholesale prices > Other wholesale prices > Food > Total"
"WS" "Work Started"
"WSCN" "Work Started > Construction"
"WSCNDW" "Work Started > Construction > Dwellings / Residential buildings"
"WSCNDW01" "Work Started > Construction > Dwellings / Residential buildings > Total"
"XT" "International Trade"
"XTEI" "International Trade > Ratio: Exports to imports"
"XTEITT" "International Trade > Ratio: Exports to imports > Total"
"XTEITT01" "International Trade > Ratio: Exports to imports > Total > Total"
"XTEX" "International Trade > Exports"
"XTEXVA" "International Trade > Exports > Value (goods)"
"XTEXVA01" "International Trade > Exports > Value (goods) > Total"
"XTEXVA03" "International Trade > Exports > Value (goods) > Excluding ships and oil platforms"
"XTEXVA04" "International Trade > Exports > Value (goods) > To EU15 countries"
"XTIM" "International Trade > Imports"
"XTIMVA" "International Trade > Imports > Value (goods)"
"XTIMVA01" "International Trade > Imports > Value (goods) > Total"
"XTIMVA03" "International Trade > Imports > Value (goods) > Excluding ships and oil platforms"
"XTIMVA04" "International Trade > Imports > Value (goods) > From EU15 countries"
"XTNT" "International Trade > Net trade"
"XTNTVA" "International Trade > Net trade > Value (goods)"
"XTNTVA01" "International Trade > Net trade > Value (goods) > Total"
"XTNTVA02" "International Trade > Net trade > Value (goods) > With EU15 countries"
